scope,model,probability_bin,bin_lower,bin_upper,nobs,mean_predicted,observed_rate,calibration_bias_pp
pooled,seasonal_naive,0,0.0,0.1,25197,0.0,0.1533515894749375,-15.335158947493749
pooled,seasonal_naive,1,0.1,0.2,0,,,
pooled,seasonal_naive,2,0.2,0.3,0,,,
pooled,seasonal_naive,3,0.3,0.4,0,,,
pooled,seasonal_naive,4,0.4,0.5,0,,,
pooled,seasonal_naive,5,0.5,0.6,0,,,
pooled,seasonal_naive,6,0.6,0.7,0,,,
pooled,seasonal_naive,7,0.7,0.8,0,,,
pooled,seasonal_naive,8,0.8,0.9,0,,,
pooled,seasonal_naive,9,0.9,1.0,9843,1.0,0.6081479223813878,39.18520776186122
NSW1,seasonal_naive,0,0.0,0.1,7059,0.0,0.11262218444538886,-11.262218444538886
NSW1,seasonal_naive,1,0.1,0.2,0,,,
NSW1,seasonal_naive,2,0.2,0.3,0,,,
NSW1,seasonal_naive,3,0.3,0.4,0,,,
NSW1,seasonal_naive,4,0.4,0.5,0,,,
NSW1,seasonal_naive,5,0.5,0.6,0,,,
NSW1,seasonal_naive,6,0.6,0.7,0,,,
NSW1,seasonal_naive,7,0.7,0.8,0,,,
NSW1,seasonal_naive,8,0.8,0.9,0,,,
NSW1,seasonal_naive,9,0.9,1.0,1701,1.0,0.5349794238683128,46.50205761316872
QLD1,seasonal_naive,0,0.0,0.1,6577,0.0,0.1017181085601338,-10.17181085601338
QLD1,seasonal_naive,1,0.1,0.2,0,,,
QLD1,seasonal_naive,2,0.2,0.3,0,,,
QLD1,seasonal_naive,3,0.3,0.4,0,,,
QLD1,seasonal_naive,4,0.4,0.5,0,,,
QLD1,seasonal_naive,5,0.5,0.6,0,,,
QLD1,seasonal_naive,6,0.6,0.7,0,,,
QLD1,seasonal_naive,7,0.7,0.8,0,,,
QLD1,seasonal_naive,8,0.8,0.9,0,,,
QLD1,seasonal_naive,9,0.9,1.0,2183,1.0,0.6921667430142007,30.783325698579933
SA1,seasonal_naive,0,0.0,0.1,5626,0.0,0.220049768929968,-22.0049768929968
SA1,seasonal_naive,1,0.1,0.2,0,,,
SA1,seasonal_naive,2,0.2,0.3,0,,,
SA1,seasonal_naive,3,0.3,0.4,0,,,
SA1,seasonal_naive,4,0.4,0.5,0,,,
SA1,seasonal_naive,5,0.5,0.6,0,,,
SA1,seasonal_naive,6,0.6,0.7,0,,,
SA1,seasonal_naive,7,0.7,0.8,0,,,
SA1,seasonal_naive,8,0.8,0.9,0,,,
SA1,seasonal_naive,9,0.9,1.0,3134,1.0,0.6081684747925973,39.18315252074027
VIC1,seasonal_naive,0,0.0,0.1,5935,0.0,0.195787700084246,-19.578770008424602
VIC1,seasonal_naive,1,0.1,0.2,0,,,
VIC1,seasonal_naive,2,0.2,0.3,0,,,
VIC1,seasonal_naive,3,0.3,0.4,0,,,
VIC1,seasonal_naive,4,0.4,0.5,0,,,
VIC1,seasonal_naive,5,0.5,0.6,0,,,
VIC1,seasonal_naive,6,0.6,0.7,0,,,
VIC1,seasonal_naive,7,0.7,0.8,0,,,
VIC1,seasonal_naive,8,0.8,0.9,0,,,
VIC1,seasonal_naive,9,0.9,1.0,2825,1.0,0.5872566371681416,41.27433628318584
pooled,seasonal_frequency,0,0.0,0.1,15742,0.029503333201417695,0.05450387498411892,-2.5000541782701227
pooled,seasonal_frequency,1,0.1,0.2,7695,0.1522827052113642,0.2692657569850552,-11.698305177369104
pooled,seasonal_frequency,2,0.2,0.3,3218,0.24065015753545965,0.4390926041019267,-19.844244656646705
pooled,seasonal_frequency,3,0.3,0.4,3501,0.35236936416634906,0.6049700085689803,-25.260064440263125
pooled,seasonal_frequency,4,0.4,0.5,2469,0.442255521071776,0.6585662211421628,-21.631070007038677
pooled,seasonal_frequency,5,0.5,0.6,1711,0.5424521614071474,0.7112799532437172,-16.882779183656982
pooled,seasonal_frequency,6,0.6,0.7,704,0.6445915912451944,0.7755681818181818,-13.097659057298738
pooled,seasonal_frequency,7,0.7,0.8,0,,,
pooled,seasonal_frequency,8,0.8,0.9,0,,,
pooled,seasonal_frequency,9,0.9,1.0,0,,,
NSW1,seasonal_frequency,0,0.0,0.1,5841,0.018982060729001327,0.05341551104262968,-3.4433450313628358
NSW1,seasonal_frequency,1,0.1,0.2,1893,0.14999743085589373,0.4252509244585314,-27.525349360263768
NSW1,seasonal_frequency,2,0.2,0.3,649,0.23505266100234945,0.522342064714946,-28.72894037125966
NSW1,seasonal_frequency,3,0.3,0.4,346,0.341246786404329,0.653179190751445,-31.193240434711605
