scope,model,nobs,brier_score,log_loss,mean_predicted,observed_rate,calibration_bias_pp
pooled,seasonal_naive,35040,0.22034817351598174,3.0442232972872407,0.28090753424657533,0.2811073059360731,-0.019977168949775193
NSW1,seasonal_naive,8760,0.18105022831050227,2.501302159693171,0.19417808219178082,0.19463470319634704,-0.04566210045662267
QLD1,seasonal_naive,8760,0.1530821917808219,2.1149094837002824,0.24920091324200913,0.24885844748858446,0.034246575342467
SA1,seasonal_naive,8760,0.2815068493150685,3.8891615673410658,0.35776255707762555,0.3589041095890411,-0.11415525114155667
VIC1,seasonal_naive,8760,0.26575342465753427,3.6715199784144423,0.3224885844748858,0.32203196347031965,0.045662100456617116
pooled,seasonal_frequency,35040,0.15846516266887675,0.4646921585668085,0.1746053438551405,0.2811073059360731,-10.650196208093258
NSW1,seasonal_frequency,8760,0.13870801276889927,0.40982396302829055,0.07744188450533776,0.19463470319634704,-11.719281869100929
QLD1,seasonal_frequency,8760,0.12992812326355999,0.3638702339578049,0.13678189825420622,0.24885844748858446,-11.207654923437824
SA1,seasonal_frequency,8760,0.18147299703217729,0.5409592474679397,0.26507024053608713,0.3589041095890411,-9.3833869052954
VIC1,seasonal_frequency,8760,0.18375151761087058,0.544115189813199,0.2191273521249309,0.32203196347031965,-10.290461134538875
pooled,statistical_control,35040,0.08316808679291263,0.2734966058278361,0.25030543349390383,0.2811073059360731,-3.0801872442169254
NSW1,statistical_control,8760,0.08270617355184512,0.274961912706513,0.15114767855470446,0.19463470319634704,-4.348702464164258
QLD1,statistical_control,8760,0.07257015533434806,0.23424447202295773,0.21414413704848606,0.24885844748858446,-3.47143104400984
SA1,statistical_control,8760,0.08740406423934846,0.2886134673872274,0.33778432765205724,0.3589041095890411,-2.1119781936983886
VIC1,statistical_control,8760,0.08999195404610891,0.29616657119464623,0.2981455907203676,0.32203196347031965,-2.3886372749952036
pooled,renewable_candidate,35040,0.07785836633425468,0.2533959858245654,0.27447589631855346,0.2811073059360731,-0.6631409617519624
NSW1,renewable_candidate,8760,0.07860055492131011,0.2557831931303267,0.1867998938757526,0.19463470319634704,-0.7834809320594438
QLD1,renewable_candidate,8760,0.06593301923060602,0.21126238017788598,0.24067098772078147,0.24885844748858446,-0.8187459767802996
SA1,renewable_candidate,8760,0.08205345943409029,0.2718944139152438,0.3414965437801423,0.3589041095890411,-1.7407565808898795
VIC1,renewable_candidate,8760,0.0848464317510123,0.2746439560748052,0.32893615989753733,0.32203196347031965,0.6904196427217679
