scope,model,probability_bin,bin_lower,bin_upper,nobs,mean_predicted,observed_rate,calibration_bias_pp
pooled,seasonal_naive,0,0.0,0.1,26451,0.0,0.130694491701637,-13.069449170163699
pooled,seasonal_naive,1,0.1,0.2,0,,,
pooled,seasonal_naive,2,0.2,0.3,0,,,
pooled,seasonal_naive,3,0.3,0.4,0,,,
pooled,seasonal_naive,4,0.4,0.5,0,,,
pooled,seasonal_naive,5,0.5,0.6,0,,,
pooled,seasonal_naive,6,0.6,0.7,0,,,
pooled,seasonal_naive,7,0.7,0.8,0,,,
pooled,seasonal_naive,8,0.8,0.9,0,,,
pooled,seasonal_naive,9,0.9,1.0,8685,1.0,0.5917098445595855,40.82901554404145
NSW1,seasonal_naive,0,0.0,0.1,7507,0.0,0.08858398827760756,-8.858398827760757
NSW1,seasonal_naive,1,0.1,0.2,0,,,
NSW1,seasonal_naive,2,0.2,0.3,0,,,
NSW1,seasonal_naive,3,0.3,0.4,0,,,
NSW1,seasonal_naive,4,0.4,0.5,0,,,
NSW1,seasonal_naive,5,0.5,0.6,0,,,
NSW1,seasonal_naive,6,0.6,0.7,0,,,
NSW1,seasonal_naive,7,0.7,0.8,0,,,
NSW1,seasonal_naive,8,0.8,0.9,0,,,
NSW1,seasonal_naive,9,0.9,1.0,1277,1.0,0.4768989819890368,52.31010180109632
QLD1,seasonal_naive,0,0.0,0.1,6778,0.0,0.09589849513130717,-9.589849513130718
QLD1,seasonal_naive,1,0.1,0.2,0,,,
QLD1,seasonal_naive,2,0.2,0.3,0,,,
QLD1,seasonal_naive,3,0.3,0.4,0,,,
QLD1,seasonal_naive,4,0.4,0.5,0,,,
QLD1,seasonal_naive,5,0.5,0.6,0,,,
QLD1,seasonal_naive,6,0.6,0.7,0,,,
QLD1,seasonal_naive,7,0.7,0.8,0,,,
QLD1,seasonal_naive,8,0.8,0.9,0,,,
QLD1,seasonal_naive,9,0.9,1.0,2006,1.0,0.6674975074775673,33.25024925224327
SA1,seasonal_naive,0,0.0,0.1,5988,0.0,0.1818637274549098,-18.18637274549098
SA1,seasonal_naive,1,0.1,0.2,0,,,
SA1,seasonal_naive,2,0.2,0.3,0,,,
SA1,seasonal_naive,3,0.3,0.4,0,,,
SA1,seasonal_naive,4,0.4,0.5,0,,,
SA1,seasonal_naive,5,0.5,0.6,0,,,
SA1,seasonal_naive,6,0.6,0.7,0,,,
SA1,seasonal_naive,7,0.7,0.8,0,,,
SA1,seasonal_naive,8,0.8,0.9,0,,,
SA1,seasonal_naive,9,0.9,1.0,2796,1.0,0.5983547925608012,40.16452074391989
VIC1,seasonal_naive,0,0.0,0.1,6178,0.0,0.17044350922628682,-17.04435092262868
VIC1,seasonal_naive,1,0.1,0.2,0,,,
VIC1,seasonal_naive,2,0.2,0.3,0,,,
VIC1,seasonal_naive,3,0.3,0.4,0,,,
VIC1,seasonal_naive,4,0.4,0.5,0,,,
VIC1,seasonal_naive,5,0.5,0.6,0,,,
VIC1,seasonal_naive,6,0.6,0.7,0,,,
VIC1,seasonal_naive,7,0.7,0.8,0,,,
VIC1,seasonal_naive,8,0.8,0.9,0,,,
VIC1,seasonal_naive,9,0.9,1.0,2606,1.0,0.5825019186492709,41.74980813507291
pooled,seasonal_frequency,0,0.0,0.1,16814,0.03055225001713185,0.05156417271321518,-2.1011922696083327
pooled,seasonal_frequency,1,0.1,0.2,7636,0.14834988554351097,0.2213200628601362,-7.297017731662522
pooled,seasonal_frequency,2,0.2,0.3,3897,0.24430588394880806,0.42725173210161665,-18.29458481528086
pooled,seasonal_frequency,3,0.3,0.4,3249,0.3462524789596386,0.5869498307171437,-24.069735175750505
pooled,seasonal_frequency,4,0.4,0.5,1961,0.44924555484639334,0.6573176950535441,-20.807214020715076
pooled,seasonal_frequency,5,0.5,0.6,1098,0.543250783412854,0.7377049180327869,-19.44541346199329
pooled,seasonal_frequency,6,0.6,0.7,481,0.6358556988523557,0.7650727650727651,-12.92170662204094
pooled,seasonal_frequency,7,0.7,0.8,0,,,
pooled,seasonal_frequency,8,0.8,0.9,0,,,
pooled,seasonal_frequency,9,0.9,1.0,0,,,
