scope,model,nobs,brier_score,log_loss,mean_predicted,observed_rate,calibration_bias_pp
pooled,seasonal_naive,35136,0.19931124772313297,2.753587447926227,0.24718237704918034,0.24464936247723132,0.2533014571949016
NSW1,seasonal_naive,8784,0.15175318761384335,2.0965486139288356,0.14537795992714025,0.14503642987249546,0.034153005464479524
QLD1,seasonal_naive,8784,0.14993169398907105,2.071383751346027,0.22836976320582877,0.22643442622950818,0.19353369763205897
SA1,seasonal_naive,8784,0.2518214936247723,3.479043252070579,0.31830601092896177,0.3144353369763206,0.38706739526411793
VIC1,seasonal_naive,8784,0.24373861566484517,3.3673741743594654,0.2966757741347905,0.2926912568306011,0.39845173041894166
pooled,seasonal_frequency,35136,0.14385888379238246,0.4295342961117707,0.15672945344022512,0.24464936247723132,-8.791990903700619
NSW1,seasonal_frequency,8784,0.11253788861564627,0.35393774481405166,0.05853344025265988,0.14503642987249546,-8.650298961983557
QLD1,seasonal_frequency,8784,0.13017430102004823,0.36313127681645174,0.11458480508327651,0.22643442622950818,-11.184962114623168
SA1,seasonal_frequency,8784,0.16278202350774104,0.49323232754911905,0.25150986948999254,0.3144353369763206,-6.292546748632804
VIC1,seasonal_frequency,8784,0.16994132202609422,0.5078358352674603,0.2022896989349716,0.2926912568306011,-9.04015578956295
pooled,statistical_control,35136,0.08104502256004828,0.26709979029150643,0.22251370434807904,0.24464936247723132,-2.2135658129152276
NSW1,statistical_control,8784,0.07596280141055,0.2608919332427273,0.10576842585828393,0.14503642987249546,-3.926800401421153
QLD1,statistical_control,8784,0.07153421637343657,0.22944721661566894,0.19384126172655536,0.22643442622950818,-3.2593164502952825
SA1,statistical_control,8784,0.08811831110012477,0.2890244480228478,0.30801104381513356,0.3144353369763206,-0.6424293161187034
VIC1,statistical_control,8784,0.08856476135608175,0.28903556328478164,0.2824340859923432,0.2926912568306011,-1.025717083825789
pooled,renewable_candidate,35136,0.07658751315179092,0.24997244631641083,0.2418963314691331,0.24464936247723132,-0.27530310080982057
NSW1,renewable_candidate,8784,0.07461453431299436,0.24916877197870965,0.13726510642330597,0.14503642987249546,-0.7771323449189488
QLD1,renewable_candidate,8784,0.0646246408258517,0.2057027236189685,0.22399844147080725,0.22643442622950818,-0.24359847587009376
SA1,renewable_candidate,8784,0.08346693430713656,0.2727917839401559,0.3077380663413726,0.3144353369763206,-0.6697270634948016
VIC1,renewable_candidate,8784,0.08364394316118104,0.27222650572780904,0.29858371164104663,0.2926912568306011,0.5892454810445535
