variable,missing_observations,missing_share
timestamp,0,0.0
region,0,0.0
demand_mw,0,0.0
wind_mw,0,0.0
solar_utility_mw,0,0.0
hydro_mw,0,0.0
coal_black_mw,0,0.0
coal_brown_mw,0,0.0
gas_mw,0,0.0
liquid_fuel_mw,0,0.0
bioenergy_mw,0,0.0
other_mw,0,0.0
battery_discharge_mw,0,0.0
battery_charge_mw,0,0.0
load_scada_mw,0,0.0
unmapped_scada_mw,0,0.0
mapped_nonstorage_generation_mw,0,0.0
rrp_aud_mwh,0,0.0
negative_price_share_5min,0,0.0
negative_price_any,0,0.0
negative_price_below_minus_50_any_5min,0,0.0
negative_price_below_minus_100_any_5min,0,0.0
n_5min_intervals,0,0.0
intrahour_price_sd,0,0.0
renewable_share_ws,33,0.00012545620437956205
renewable_share_broad,33,0.00012545620437956205
local_timezone,0,0.0
local_timestamp,0,0.0
local_date,0,0.0
local_hour,0,0.0
local_weekday,0,0.0
local_utc_offset_hours,0,0.0
peak,0,0.0
season,0,0.0
