model,family,outcome,parameter,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,df_absorbed,week_clusters,effects,sample_flag,covariance
core_price_asinh,core,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.27012364610175366,0.012508419081518568,-21.595346649431228,0.0,-0.29463988540759367,-0.24560740679591364,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_price_asinh,core,price_asinh,log_demand_centered,5.339630825931071,0.18559156018046924,28.770870942292923,0.0,4.975875256751964,5.7033863951101775,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_price_asinh,core,price_asinh,log_demand_centered_sq,0.9044003951163323,0.03731990343845532,24.233728166199285,0.0,0.8312541663559081,0.9775466238767565,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_rrp_aud_mwh,core,rrp_aud_mwh,renewable_share_ws_10pp_winsor_p999,-11.802049418150059,0.8679344094493564,-13.59785865113659,0.0,-13.503182674491999,-10.100916161808119,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_rrp_aud_mwh,core,rrp_aud_mwh,log_demand_centered,197.907199554644,20.34206258991399,9.728964242434808,0.0,158.03718311383238,237.7772159954556,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_rrp_aud_mwh,core,rrp_aud_mwh,log_demand_centered_sq,46.19569178060345,4.9321436930700795,9.366250185595934,0.0,36.528793487376795,55.8625900738301,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_price_winsor_001_999,core,price_winsor_001_999,renewable_share_ws_10pp_winsor_p999,-10.445825969751374,0.6369132556554535,-16.400704298423612,0.0,-11.694162605336425,-9.197489334166322,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_price_winsor_001_999,core,price_winsor_001_999,log_demand_centered,166.52937956260087,11.536204332630389,14.435370140902336,0.0,143.918660793375,189.14009833182672,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_price_winsor_001_999,core,price_winsor_001_999,log_demand_centered_sq,38.8375588190801,2.9307351202425864,13.251814724172476,0.0,33.09337939227646,44.58173824588374,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_any,core,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03576899977956606,0.0013774834950320794,25.966917141706336,0.0,0.033069160992268934,0.03846883856686319,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_any,core,negative_price_any,log_demand_centered,-0.5572156609708213,0.02007789394147733,-27.75269470966343,0.0,-0.596567912395929,-0.5178634095457136,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_any,core,negative_price_any,log_demand_centered_sq,-0.11791831249357312,0.004817111654263444,-24.479049056130567,0.0,-0.12735975040105135,-0.1084768745860949,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_share_5min,core,negative_price_share_5min,renewable_share_ws_10pp_winsor_p999,0.020246117418234108,0.0011772781611341248,17.197394877970144,0.0,0.017938676890394082,0.022553557946074134,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_share_5min,core,negative_price_share_5min,log_demand_centered,-0.4762708919170307,0.019609874837662192,-24.28729891749833,0.0,-0.5147058357052533,-0.43783594812880816,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_negative_price_share_5min,core,negative_price_share_5min,log_demand_centered_sq,-0.07462115271196937,0.0038630323919444562,-19.316729745154642,0.0,-0.08219261525650894,-0.0670496901674298,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd_asinh,core,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.023914136253425054,0.004199265676174196,-5.69483764485518,1.2370825919205686e-08,-0.03214460898982366,-0.01568366351702645,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd_asinh,core,intrahour_price_sd_asinh,log_demand_centered,0.8596362401822802,0.05284593502815691,16.266837548134145,0.0,0.7560593148292261,0.9632131655353344,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd_asinh,core,intrahour_price_sd_asinh,log_demand_centered_sq,0.213764506001042,0.013886765975701557,15.393397308997471,0.0,0.18654673566366023,0.24098227633842376,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd,core,intrahour_price_sd,renewable_share_ws_10pp_winsor_p999,-5.025188722162409,0.6837490563883706,-7.3494634840243105,2.000621890374532e-13,-6.365322545814606,-3.685054898510212,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd,core,intrahour_price_sd,log_demand_centered,122.69191120844046,17.656303679613536,6.948901278250214,3.695710404372221e-12,88.08592595603099,157.29789646084993,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
core_intrahour_price_sd,core,intrahour_price_sd,log_demand_centered_sq,32.737039268984276,4.301643269093652,7.610356605856326,2.7533531010703882e-14,24.305908595622427,41.168169942346125,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.22947765758193853,0.013560846875899809,-16.922074239313456,0.0,-0.2560566338993836,-0.20289868126449342,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,renewable_share_ws_10pp_lag_1_3,-0.015684625870196915,0.010431513009131687,-1.503581106256272,0.13269126978040324,-0.03613017324361156,0.004760921503217729,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,renewable_share_ws_10pp_lag_4_6,0.012059584348885148,0.007029824978361873,1.7154885628027878,0.08625766296739767,-0.0017187256140216729,0.025837894311791967,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,renewable_share_ws_10pp_lag_7_12,-0.08483027442191922,0.006790576653879514,-12.492352085217235,0.0,-0.09813966267155855,-0.07152088617227989,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,renewable_share_ws_10pp_lag_13_24,-0.03189326158795991,0.008098660216184345,-3.9380910837850047,8.216783981018771e-05,-0.047766466267495505,-0.016020056908424316,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,log_demand_centered,5.5033103008785975,0.1869004053677753,29.445149089160076,0.0,5.136989414472942,5.869631187284253,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_price_asinh,distributed_lag,price_asinh,log_demand_centered_sq,0.8925981559966085,0.03863960248522543,23.10060400693589,0.0,0.8168653430853828,0.9683309689078342,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03727864501474254,0.001578171600002149,23.621414182520947,0.0,0.034185461678540446,0.04037182835094463,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,renewable_share_ws_10pp_lag_1_3,-0.004527068507251496,0.0011113780477720007,-4.073383054782296,4.635783136963667e-05,-0.00670534624180488,-0.002348790772698113,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,renewable_share_ws_10pp_lag_4_6,-0.001126407968973288,0.0008610044540621844,-1.3082487130687193,0.19079087909073067,-0.0028139586952043933,0.0005611427572578176,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,renewable_share_ws_10pp_lag_7_12,0.006992345965963591,0.0008428499469825889,8.296074515987405,0.0,0.005340377693995058,0.008644314237932124,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,renewable_share_ws_10pp_lag_13_24,0.0034702501567299756,0.0009384945631776579,3.697677421784972,0.0002176551534971427,0.0016308204369622113,0.00530967987649774,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,log_demand_centered,-0.5780677395726077,0.02026714475673,-28.522406412509188,0.0,-0.6177909195067971,-0.5383445596384183,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_negative_price_any,distributed_lag,negative_price_any,log_demand_centered_sq,-0.12077372115539439,0.005148880896230624,-23.45630508637518,0.0,-0.13086542004814355,-0.11068202226264522,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999,-0.01830072132232705,0.004426231142080567,-4.134605883624217,3.557487059979714e-05,-0.0269760418076556,-0.009625400836998496,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,renewable_share_ws_10pp_lag_1_3,-0.007948406889859616,0.003831343939063401,-2.0745740962641586,0.03802764970317685,-0.01545776089645413,-0.0004390528832651022,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,renewable_share_ws_10pp_lag_4_6,-0.001467966778874925,0.0026499190623845022,-0.5539666474016721,0.5796024603478018,-0.006661752730948112,0.003725819173198262,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,renewable_share_ws_10pp_lag_7_12,0.006897346595937807,0.0024734406103473165,2.7885636578794966,0.0052948709312046205,0.0020494547196669103,0.011745238472208704,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,renewable_share_ws_10pp_lag_13_24,-0.00366301928667779,0.002606736772452497,-1.4052125728182023,0.1599600545823685,-0.008772168853432332,0.0014461302800767512,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,log_demand_centered,0.8517373800825226,0.054070919970869886,15.752226530293674,0.0,0.7457595075705701,0.9577152525944752,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,log_demand_centered_sq,0.21842122124245478,0.014179009404593892,15.404547314263572,0.0,0.1906306592946394,0.24621178319027015,209928,52871,314,region_month + exact_aest_hour,dynamic_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,log_demand_centered,5.283162468884048,0.18741491114343412,28.189659171999867,0.0,4.915833169969166,5.65049176779893,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,log_demand_centered_sq,1.0134587574485987,0.047292802386036524,21.42945028243512,0.0,0.9207658557035101,1.1061516591936873,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,renewable_share_ws_10pp_winsor_p999_x_NSW1,0.37648054234659606,0.03204975855278558,11.746751281340762,0.0,0.3136636871254238,0.4392973975677683,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,renewable_share_ws_10pp_winsor_p999_x_VIC1,-0.48125902085711775,0.019226745983668855,-25.030705729710988,0.0,-0.5189430401248826,-0.4435750015893529,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,renewable_share_ws_10pp_winsor_p999_x_QLD1,-0.18977742256172025,0.046087561921946726,-4.117757907938908,3.827710890980107e-05,-0.2801080782507353,-0.09944676687270522,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,renewable_share_ws_10pp_winsor_p999_x_SA1,-0.2830199215026243,0.011854644062775383,-23.874181291645147,0.0,-0.3062547754739397,-0.25978506753130887,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,log_demand_centered,-0.5325404014154592,0.020557257221615742,-25.905226347778463,0.0,-0.5728321948312445,-0.49224860799967396,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,log_demand_centered_sq,-0.11631606493968828,0.0055075128382366225,-21.11952679114044,0.0,-0.12711067470308035,-0.10552145517629621,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_NSW1,-0.017692168451444158,0.004157035598371628,-4.255957889409087,2.0827605733408916e-05,-0.025839871121406198,-0.009544465781482119,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_VIC1,0.06789764476404375,0.002450066027828953,27.712577535801785,0.0,0.06309556668601507,0.07269972284207243,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_QLD1,0.04623908689608036,0.005683097928672074,8.136246722548506,4.440892098500626e-16,0.035100334034489464,0.05737783975767126,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,renewable_share_ws_10pp_winsor_p999_x_SA1,0.0342942915074218,0.0012876533206282997,26.633171334259586,0.0,0.03177051797933887,0.03681806503550472,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,log_demand_centered,0.8189309337345395,0.05324907108775463,15.379252952317962,0.0,0.7145638701364685,0.9232979973326105,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,log_demand_centered_sq,0.19790443112570932,0.014524601166182288,13.62546405656159,0.0,0.1694365171756355,0.22637234507578316,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_NSW1,0.020401926878630676,0.0072722727242295025,2.8054402870035737,0.005025404966301883,0.006148424715910003,0.03465542904135135,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_VIC1,-0.02871675218004729,0.005442094180117115,-5.276783390659604,1.316444857568655e-07,-0.03938314274424981,-0.018050361615844775,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_QLD1,-0.10337043673981247,0.011089835148157279,-9.321187858864505,0.0,-0.12510628126360582,-0.08163459221601913,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,renewable_share_ws_10pp_winsor_p999_x_SA1,-0.021214406027826427,0.004530129485984334,-4.68295798022136,2.829997900022363e-06,-0.03009336490003011,-0.012335447155622742,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.28008858453555596,0.012829829172837174,-21.83104550827137,0.0,-0.3052347808869725,-0.25494238818413945,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,log_demand_centered,5.453158993761502,0.19343301080252354,28.191460036408426,0.0,5.074034345649738,5.832283641873265,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,log_demand_centered_sq,0.9213543854236175,0.039009270358601536,23.618857183276155,0.0,0.8448970328939608,0.9978117379532742,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,renewable_share_ws_10pp_winsor_p999_x_peak,0.026374631769669487,0.00985669341836525,2.6758092851429853,0.007455676208949047,0.0070557191999929166,0.045693544339346054,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03714290334300433,0.0014759453466246636,25.16550048953124,0.0,0.034250081389555376,0.04003572529645329,210399,52895,314,region_month + exact_aest_hour,headline_sample,clustered_aest_week_debiased
