section,model,outcome_or_contrast,estimate,std_error,p_value,nobs,week_clusters,note
headline_fixed_effects,core_price_asinh,Continuous price (asinh RRP),-0.2701236461017536,0.0125084190815185,0.0,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_rrp_aud_mwh,Continuous price (AUD/MWh level),-11.80204941815006,0.8679344094493564,0.0,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_price_winsor_001_999,Continuous price (winsorised AUD/MWh),-10.445825969751374,0.6369132556554535,0.0,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_negative_price_any,"Any negative price (LPM, probability points)",0.035768999779566,0.001377483495032,0.0,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_negative_price_share_5min,Negative five-minute-price share (points),0.0202461174182341,0.0011772781611341,0.0,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_intrahour_price_sd_asinh,Intrahour volatility (asinh SD),-0.023914136253425,0.0041992656761741,1.2370825919205686e-08,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
headline_fixed_effects,core_intrahour_price_sd,Intrahour volatility (AUD/MWh SD level),-5.025188722162409,0.6837490563883706,2.000621890374532e-13,210399,314,Association per 10 percentage-point increase in capped wind-plus-utility-solar share.
distributed_lag_price_asinh,dynamic_price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2294776575819385,0.0135608468758998,0.0,209928,314,Association per 10 percentage-point increase; block terms are averages of the stated lag hours.
distributed_lag_price_asinh,dynamic_price_asinh,renewable_share_ws_10pp_lag_1_3,-0.0156846258701969,0.0104315130091316,0.1326912697804032,209928,314,Association per 10 percentage-point increase; block terms are averages of the stated lag hours.
distributed_lag_price_asinh,dynamic_price_asinh,renewable_share_ws_10pp_lag_4_6,0.0120595843488851,0.0070298249783618,0.0862576629673976,209928,314,Association per 10 percentage-point increase; block terms are averages of the stated lag hours.
distributed_lag_price_asinh,dynamic_price_asinh,renewable_share_ws_10pp_lag_7_12,-0.0848302744219192,0.0067905766538795,0.0,209928,314,Association per 10 percentage-point increase; block terms are averages of the stated lag hours.
distributed_lag_price_asinh,dynamic_price_asinh,renewable_share_ws_10pp_lag_13_24,-0.0318932615879599,0.0080986602161843,8.216783981018771e-05,209928,314,Association per 10 percentage-point increase; block terms are averages of the stated lag hours.
distributed_lag_price_asinh,dynamic_price_asinh,contemporaneous plus lag blocks 1–24,-0.3498262351131294,0.0150443721322381,3.5940874434349136e-70,209928,314,Covariance-aware linear sum of the five pre-specified distributed-lag terms.
secondary_nonlinear,logit_average_marginal_effect,Any negative price (average marginal effect),0.0402067200651587,,,210399,314,point estimate only; week-block bootstrap is reserved for Task 9
secondary_nonlinear,probit_average_marginal_effect,Any negative price (average marginal effect),0.0390587884529795,,,210399,314,point estimate only; week-block bootstrap is reserved for Task 9
