model,family,outcome,contrast,estimate,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,week_clusters,sample_flag
dynamic_price_asinh,distributed_lag,price_asinh,contemporaneous_plus_lags_1_24,-0.3498262351131294,0.015044372132238198,-23.252963436306906,3.5940874434349136e-70,-0.3794271207712535,-0.32022534945500525,209928,314,dynamic_sample
dynamic_negative_price_any,distributed_lag,negative_price_any,contemporaneous_plus_lags_1_24,0.04208776466121132,0.0016605290428989869,25.345997314044933,7.791944809570511e-78,0.038820554178859705,0.04535497514356294,209928,314,dynamic_sample
dynamic_intrahour_price_sd_asinh,distributed_lag,intrahour_price_sd_asinh,contemporaneous_plus_lags_1_24,-0.024482767681801573,0.0052863356207761185,-4.631330554492322,5.334430513574471e-06,-0.03488401373485188,-0.01408152162875127,209928,314,dynamic_sample
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,NSW1,0.37648054234659606,0.03204975855278558,11.746751281340762,1.213546430450171e-26,0.3134203341868588,0.43954075050633334,210399,314,headline_sample
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,VIC1,-0.48125902085711775,0.019226745983668855,-25.030705729710988,1.078548673027119e-76,-0.519089028280346,-0.4434290134338895,210399,314,headline_sample
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,QLD1,-0.18977742256172025,0.046087561921946726,-4.117757907938908,4.9001357381409175e-05,-0.2804580198456629,-0.09909682527777766,210399,314,headline_sample
heterogeneity_region_price_asinh,heterogeneity_region,price_asinh,SA1,-0.2830199215026243,0.011854644062775383,-23.874181291645147,1.818688636893843e-72,-0.30634478746150484,-0.2596950555437437,210399,314,headline_sample
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,NSW1,-0.017692168451444158,0.004157035598371628,-4.255957889409087,2.754003147085692e-05,-0.02587143537880667,-0.009512901524081642,210399,314,headline_sample
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,VIC1,0.06789764476404375,0.002450066027828953,27.712577535801785,3.0710169170515972e-86,0.06307696340179474,0.07271832612629277,210399,314,headline_sample
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,QLD1,0.04623908689608036,0.005683097928672074,8.136246722548506,9.696173898219964e-15,0.035057182427627356,0.057420991364533366,210399,314,headline_sample
heterogeneity_region_negative_price_any,heterogeneity_region,negative_price_any,SA1,0.0342942915074218,0.0012876533206282997,26.633171334259586,1.9255091313569595e-82,0.03176074086295555,0.03682784215188804,210399,314,headline_sample
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,NSW1,0.020401926878630676,0.0072722727242295025,2.8054402870035737,0.0053392643721805804,0.006093206548366774,0.03471064720889458,210399,314,headline_sample
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,VIC1,-0.02871675218004729,0.005442094180117115,-5.276783390659604,2.460662643219632e-07,-0.03942446441625236,-0.01800903994384222,210399,314,headline_sample
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,QLD1,-0.10337043673981247,0.011089835148157279,-9.321187858864505,2.13995736988047e-18,-0.12519048607803715,-0.0815503874015878,210399,314,headline_sample
heterogeneity_region_intrahour_price_sd_asinh,heterogeneity_region,intrahour_price_sd_asinh,SA1,-0.021214406027826427,0.004530129485984334,-4.68295798022136,4.219850781461246e-06,-0.030127762049096892,-0.012301050006555962,210399,314,headline_sample
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,off_peak,-0.28008858453555596,0.012829829172837174,-21.83104550827137,7.4385535558324e-65,-0.3053321974308133,-0.2548449716402986,210399,314,headline_sample
heterogeneity_peak_price_asinh,heterogeneity_peak,price_asinh,peak,-0.2537139527658865,0.014029050313127936,-18.084898628417427,1.5034198461648283e-50,-0.2813171196219558,-0.22611078590981715,210399,314,headline_sample
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,off_peak,0.03714290334300433,0.0014759453466246636,25.16550048953124,3.5023016182281375e-77,0.03423887457669534,0.04004693210931332,210399,314,headline_sample
heterogeneity_peak_negative_price_any,heterogeneity_peak,negative_price_any,peak,0.03350653360389961,0.0014568823116584248,22.998792239956458,3.160652672261758e-69,0.03064001273179667,0.036373054476002545,210399,314,headline_sample
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,off_peak,-0.023430381005241748,0.004311951545261149,-5.433822889543326,1.1106269039541176e-07,-0.03191445621507624,-0.014946305795407257,210399,314,headline_sample
heterogeneity_peak_intrahour_price_sd_asinh,heterogeneity_peak,intrahour_price_sd_asinh,peak,-0.02471075685725866,0.004570408812644341,-5.406684143636057,1.2759432846525775e-07,-0.03370336535462908,-0.01571814835988824,210399,314,headline_sample
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,DJF,-0.21572180088720327,0.018271668964977193,-11.806354487961388,7.435714296366646e-27,-0.25167262549199987,-0.17977097628240668,210399,314,headline_sample
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,MAM,-0.26045382387278704,0.02119354270068215,-12.289300922983672,1.3596759568545138e-28,-0.30215364548442725,-0.21875400226114686,210399,314,headline_sample
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,JJA,-0.35786098837862923,0.021301576554915377,-16.799741909058472,1.3449604658721569e-45,-0.39977337437901594,-0.3159486023782425,210399,314,headline_sample
heterogeneity_season_price_asinh,heterogeneity_season,price_asinh,SON,-0.23985740653014465,0.019389259583190308,-12.370632591772157,6.892976841895337e-29,-0.27800717116457724,-0.20170764189571205,210399,314,headline_sample
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,DJF,0.025922353405984644,0.001915020332393146,13.536333253229861,3.514127601141717e-33,0.02215441298322145,0.029690293828747837,210399,314,headline_sample
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,MAM,0.03614557994827525,0.0023889439986284166,15.130358840151882,3.3879541421067015e-39,0.0314451605804554,0.040845999316095095,210399,314,headline_sample
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,JJA,0.04696377774317914,0.002288477149929843,20.521846916679458,6.779473427415652e-60,0.04246103413574452,0.05146652135061376,210399,314,headline_sample
heterogeneity_season_negative_price_any,heterogeneity_season,negative_price_any,SON,0.03264700376549269,0.0021908408031543554,14.901586513491894,2.5171652633650133e-38,0.028336366702058337,0.036957640828927045,210399,314,headline_sample
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,DJF,-0.04888245693949549,0.0073979341084519,-6.607582092904676,1.680249570489453e-10,-0.06343842509328525,-0.034326488785705746,210399,314,headline_sample
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,MAM,-0.02703703199578592,0.007139320859437417,-3.7870593755491266,0.00018274755227625606,-0.04108415995694645,-0.012989904034625386,210399,314,headline_sample
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,JJA,-0.01209041246102465,0.007992613936693581,-1.5126981681822935,0.13136536071442492,-0.027816456005415366,0.0036356310833660643,210399,314,headline_sample
heterogeneity_season_intrahour_price_sd_asinh,heterogeneity_season,intrahour_price_sd_asinh,SON,-0.0138210186140958,0.008685216696189857,-1.5913268600608415,0.11254545906949776,-0.030909807968690053,0.003267770740498454,210399,314,headline_sample
heterogeneity_post_5ms_price_asinh,heterogeneity_post_5ms,price_asinh,pre_5ms,-0.24939045452265074,0.015868387632410608,-15.716181145794533,1.95569094454554e-41,-0.2806126500225367,-0.21816825902276477,210399,314,headline_sample
heterogeneity_post_5ms_price_asinh,heterogeneity_post_5ms,price_asinh,post_5ms,-0.2798006043981919,0.015826547672172054,-17.679193857935772,5.500207772677968e-49,-0.31094047676301606,-0.24866073203336767,210399,314,headline_sample
heterogeneity_post_5ms_negative_price_any,heterogeneity_post_5ms,negative_price_any,pre_5ms,0.03760703971089791,0.002118441408718481,17.75222083373442,2.877047992065664e-49,0.0334388536701833,0.04177522575161252,210399,314,headline_sample
heterogeneity_post_5ms_negative_price_any,heterogeneity_post_5ms,negative_price_any,post_5ms,0.03491111759124875,0.0016454493109176996,21.216768793551065,1.5545974311901224e-62,0.03167357756760486,0.03814865761489264,210399,314,headline_sample
heterogeneity_post_5ms_intrahour_price_sd_asinh,heterogeneity_post_5ms,intrahour_price_sd_asinh,pre_5ms,0.05386866197530992,0.005974767620404036,9.016026295541034,1.9920368484742294e-17,0.042112876382473054,0.06562444756814678,210399,314,headline_sample
heterogeneity_post_5ms_intrahour_price_sd_asinh,heterogeneity_post_5ms,intrahour_price_sd_asinh,post_5ms,-0.06021828613637408,0.0037717888259600446,-15.965444757116417,2.166636322609187e-42,-0.06763955229374234,-0.05279701997900582,210399,314,headline_sample
