model,family,outcome,contrast,estimate,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,week_clusters,sample_flag,heterogeneity_family,p_value_holm
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,NSW1_minus_VIC1,0.8577395632037138,0.03480494890693301,24.644183949164063,2.744493774967394e-75,0.7892583195947988,0.9262208068126289,210399,314,headline_sample,region,1.6466962649804366e-74
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,NSW1_minus_QLD1,0.5662579649083164,0.033659632404597684,16.82305849635391,1.0937996173095392e-45,0.5000302140028516,0.6324857158137811,210399,314,headline_sample,region,4.375198469238157e-45
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,NSW1_minus_SA1,0.6595004638492203,0.032702613928448795,20.16659785337541,1.5345191180566451e-58,0.5951557157195572,0.7238452119788835,210399,314,headline_sample,region,7.672595590283226e-58
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,VIC1_minus_QLD1,-0.2914815982953975,0.04946771473155732,-5.892360297562936,9.83466962150467e-09,-0.38881288966911626,-0.19415030692167873,210399,314,headline_sample,region,1.966933924300934e-08
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,VIC1_minus_SA1,-0.19823909935449346,0.015892975448875787,-12.473378568549679,2.915963744510944e-29,-0.22950967315407658,-0.16696852555491035,210399,314,headline_sample,region,8.747891233532833e-29
heterogeneity_difference_region_price_asinh,heterogeneity_difference_region,price_asinh,QLD1_minus_SA1,0.09324249894090403,0.0461910923124207,2.0186251130465536,0.044378682133953004,0.002358198157498395,0.18412679972430968,210399,314,headline_sample,region,0.044378682133953004
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,NSW1_minus_VIC1,-0.0855898132154879,0.004604913990101741,-18.586625808747602,1.7587710146365965e-52,-0.0946503131345509,-0.07652931329642491,210399,314,headline_sample,region,1.0552626087819579e-51
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,NSW1_minus_QLD1,-0.06393125534752452,0.0038961188451937414,-16.40895924578641,4.2884473138091277e-44,-0.07159714977191914,-0.0562653609231299,210399,314,headline_sample,region,2.144223656904564e-43
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,NSW1_minus_SA1,-0.05198645995886596,0.004334531083310349,-11.993560308988046,1.5870635167744932e-27,-0.06051496203597897,-0.04345795788175295,210399,314,headline_sample,region,4.7611905503234796e-27
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,VIC1_minus_QLD1,0.02165855786796339,0.005991918916317174,3.61462799654763,0.0003503756422808494,0.009869025865189911,0.03344808987073687,210399,314,headline_sample,region,0.0007007512845616987
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,VIC1_minus_SA1,0.033603353256621955,0.0020873330773417626,16.098702033417748,6.6737319542853325e-43,0.02949637509829707,0.03771033141494684,210399,314,headline_sample,region,2.669492781714133e-42
heterogeneity_difference_region_negative_price_any,heterogeneity_difference_region,negative_price_any,QLD1_minus_SA1,0.011944795388658565,0.005646645097065631,2.1153791646770697,0.035187369834793175,0.0008346144917054255,0.023054976285611706,210399,314,headline_sample,region,0.035187369834793175
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,NSW1_minus_VIC1,0.049118679058677964,0.008135318710875505,6.0377080240279755,4.422665150273429e-09,0.03311185359355985,0.06512550452379608,210399,314,headline_sample,region,1.3267995450820286e-08
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,NSW1_minus_QLD1,0.12377236361844315,0.011657359841458569,10.61752963807942,1.075194216552738e-22,0.1008356685733116,0.1467090586635747,210399,314,headline_sample,region,6.451165299316428e-22
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,NSW1_minus_SA1,0.0416163329064571,0.008610056997331689,4.8334561454534235,2.106076684981658e-06,0.02467542567232916,0.05855724014058505,210399,314,headline_sample,region,4.212153369963316e-06
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,VIC1_minus_QLD1,0.07465368455976518,0.011445199864401547,6.522706937776024,2.771920894808752e-10,0.05213442954914577,0.09717293957038459,210399,314,headline_sample,region,1.1087683579235008e-09
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,VIC1_minus_SA1,-0.007502346152220864,0.0049318274251322165,-1.5212101936068323,0.12921665618094805,-0.01720607179884382,0.002201379494402092,210399,314,headline_sample,region,0.12921665618094805
heterogeneity_difference_region_intrahour_price_sd_asinh,heterogeneity_difference_region,intrahour_price_sd_asinh,QLD1_minus_SA1,-0.08215603071198604,0.011071395924908679,-7.420566590627432,1.1075649320981422e-12,-0.10393979955048571,-0.06037226187348638,210399,314,headline_sample,region,5.5378246604907114e-12
heterogeneity_difference_peak_price_asinh,heterogeneity_difference_peak,price_asinh,off_peak_minus_peak,-0.026374631769669487,0.00985669341836525,-2.6758092851429853,0.007847228457845341,-0.04576838594429501,-0.006980877595043962,210399,314,headline_sample,peak,0.007847228457845341
heterogeneity_difference_peak_negative_price_any,heterogeneity_difference_peak,negative_price_any,off_peak_minus_peak,0.003636369739104725,0.00112431363427675,3.234301913846249,0.001349672145259573,0.001424201691175376,0.005848537787034074,210399,314,headline_sample,peak,0.001349672145259573
heterogeneity_difference_peak_intrahour_price_sd_asinh,heterogeneity_difference_peak,intrahour_price_sd_asinh,off_peak_minus_peak,0.001280375852016912,0.0028047666394948696,0.4564999576034261,0.6483471118348461,-0.004238204509040471,0.006798956213074295,210399,314,headline_sample,peak,0.6483471118348461
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,DJF_minus_MAM,0.04473202298558379,0.025791737758615547,1.734354753612574,0.0838396792623217,-0.006015078562184126,0.09547912453335171,210399,314,headline_sample,season,0.2515190377869651
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,DJF_minus_JJA,0.14213918749142593,0.027235519967349263,5.218890172165853,3.284230170965245e-07,0.08855134046752211,0.19572703451532975,210399,314,headline_sample,season,1.970538102579147e-06
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,DJF_minus_SON,0.024135605642941385,0.023157180620878397,1.0422514743086144,0.2980994476857329,-0.021427814996878264,0.06969902628276103,210399,314,headline_sample,season,0.5961988953714658
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,MAM_minus_JJA,0.09740716450584214,0.029419745418807944,3.310945187294859,0.001038515880823457,0.039521696599399435,0.15529263241228483,210399,314,headline_sample,season,0.004154063523293828
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,MAM_minus_SON,-0.020596417342642406,0.02664485903639584,-0.7729977972301711,0.4401070304333128,-0.07302209644579882,0.03182926176051401,210399,314,headline_sample,season,0.5961988953714658
heterogeneity_difference_season_price_asinh,heterogeneity_difference_season,price_asinh,JJA_minus_SON,-0.11800358184848454,0.027960597607228736,-4.22035263716884,3.199414335920976e-05,-0.17301807134857003,-0.06298909234839906,210399,314,headline_sample,season,0.00015997071679604881
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,DJF_minus_MAM,-0.010223226542290605,0.0028428534367125674,-3.596114527139531,0.00037519094452445547,-0.01581674541986536,-0.0046297076647158495,210399,314,headline_sample,season,0.0015007637780978219
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,DJF_minus_JJA,-0.0210414243371945,0.002911804672942761,-7.226248564238129,3.814415311023595e-12,-0.026770609737884744,-0.015312238936504258,210399,314,headline_sample,season,2.288649186614157e-11
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,DJF_minus_SON,-0.006724650359508045,0.0025868580623972033,-2.59954361519024,0.009777124084126407,-0.011814479901462092,-0.0016348208175539997,210399,314,headline_sample,season,0.019554248168252814
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,MAM_minus_JJA,-0.010818197794903896,0.0032454061480583136,-3.333387964824153,0.0009609075393043452,-0.017203768123690694,-0.004432627466117098,210399,314,headline_sample,season,0.0028827226179130357
