family,outcome,parameter,coefficient,std_error,p_value,ci_lower,ci_upper,nobs,effects,sample,covariance,effect_unit,claim_boundary
exposure_headline_p999,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2701236461017536,0.0125084190815185,0.0,-0.2946398854075936,-0.2456074067959136,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_raw_uncapped,price_asinh,renewable_share_ws_10pp,-0.0145973183495959,0.0108023197952386,0.1765970360950295,-0.0357696388029119,0.0065750021037199,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_cap_at_one,price_asinh,renewable_share_ws_10pp_cap1,-0.322247287252306,0.0138155507301498,0.0,-0.3493254772006082,-0.2951690973040038,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_broad_including_hydro,price_asinh,renewable_share_broad_10pp,-0.0142403005967389,0.0104771692482407,0.1740932662758192,-0.0347753327909492,0.0062947315974713,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_wind_solar_output_100mw,price_asinh,renewable_output_ws_100mw,-0.0362106881327977,0.0043555378213338,0.0,-0.0447474509992761,-0.0276739252663193,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 100 MW wind-plus-solar output,conditional association; not causal
exposure_separate_wind_solar,price_asinh,wind_share_10pp,-0.0391026543938901,0.0130754801327106,0.0027853410790892,-0.0647303214794587,-0.0134749873083214,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_separate_wind_solar,price_asinh,solar_utility_share_10pp,0.3059968651078149,0.031402514160413,0.0,0.2444485953399127,0.3675451348757171,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_all_unknown_as_renewable_upper_bound,price_asinh,renewable_share_ws_unknown_upper_10pp_p999,-0.2667768727059008,0.012552178660974,0.0,-0.2913788798705615,-0.2421748655412401,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
sample_include_tas1,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2765796358336123,0.0106161417812027,0.0,-0.2973870112846544,-0.2557722603825701,263007,region_month + timestamp,all_five_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
sample_post_5ms,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2735421377236526,0.0167051572296768,0.0,-0.3062840471826333,-0.2408002282646719,131391,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
aggressive_region_date_fe,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.1486006658788895,0.013872831506901,0.0,-0.1757911368399282,-0.1214101949178508,210399,region_date + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
inference_driscoll_kraay,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2701236461017536,0.0147075771944806,4.20353981373093e-75,-0.2989506309443881,-0.2412966612591192,210399,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours,per 10 percentage-point share increase,conditional association; not causal
inference_two_way_benchmark,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.2701236461017536,0.0457822344162898,3.6383329682365675e-09,-0.3598558662641086,-0.1803914259393986,210399,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark,per 10 percentage-point share increase,conditional association; not causal
exposure_headline_p999,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.035768999779566,0.001377483495032,0.0,0.0330691609922689,0.0384688385668631,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_raw_uncapped,negative_price_any,renewable_share_ws_10pp,0.0021029435028886,0.0014799389917031,0.1553285228558223,-0.0007977059110925,0.0050035929168698,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_cap_at_one,negative_price_any,renewable_share_ws_10pp_cap1,0.0441884721713415,0.0015598078187526,0.0,0.041131281529867,0.047245662812816,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_broad_including_hydro,negative_price_any,renewable_share_broad_10pp,0.002055704089911,0.0014364987915534,0.1524173721706354,-0.0007598034419966,0.0048712116218187,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_wind_solar_output_100mw,negative_price_any,renewable_output_ws_100mw,0.0073577008277022,0.0005311198020201,0.0,0.0063167171445094,0.0083986845108949,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 100 MW wind-plus-solar output,conditional association; not causal
exposure_separate_wind_solar,negative_price_any,wind_share_10pp,0.003394945612335,0.0016320683204449,0.0375134627765132,0.0001961259014908,0.0065937653231791,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_separate_wind_solar,negative_price_any,solar_utility_share_10pp,-0.0147998388362113,0.0026362022583504,1.9794713645993056e-08,-0.0199667400254239,-0.0096329376469987,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
exposure_all_unknown_as_renewable_upper_bound,negative_price_any,renewable_share_ws_unknown_upper_10pp_p999,0.0354296652726695,0.0013799955362966,0.0,0.0327249029371297,0.0381344276082093,210399,region_month + timestamp,headline_sample,clustered_aest_week_debiased,per 10 percentage-point share increase,conditional association; not causal
